PC1,PC2,PC3,label_joint,auxiliary_type
0.67112666,-4.181018,4.7012444,0,oppolzer
5.8464932,2.0876288,-1.232308,1,evans
4.078313,1.0573753,-1.8437557,1,evans
1.0131799,3.6154008,-2.0648613,2,evans
0.84799474,3.6244416,-1.7652295,2,evans
0.9934339,3.4617693,-2.122399,2,evans
2.9106798,2.7333622,-0.59023523,3,evans
-2.8874598,6.1372924,3.2386262,1,crimmins_thione
1.3911343,2.7128782,0.6200841,2,evans
-5.052381,-5.3887305,0.2707362,0,crimmins_oxathione
-4.963205,-5.301053,0.25602165,3,crimmins_oxathione
-4.862788,-5.2398534,0.2585368,3,crimmins_oxathione
-4.4692674,-4.9542136,0.2800724,3,crimmins_oxathione
-4.8863034,-5.2848444,0.2816312,3,crimmins_oxathione
-5.0315504,-5.357139,0.1995411,3,crimmins_oxathione
-4.723317,-5.180083,0.1777531,2,crimmins_oxathione
-3.1947904,-4.3100653,0.75004476,3,crimmins_oxathione
-4.760117,-5.3343043,0.552491,3,crimmins_oxathione
-4.3197856,-4.997602,0.7162553,3,crimmins_oxathione
-5.1116257,-3.625478,-2.7773912,3,crimmins_oxathione
-6.0655427,-3.6507149,-1.4544754,3,crimmins_oxathione
2.2959816,4.1460156,-1.6424918,2,evans
-5.9032044,0.86625844,6.166415,2,evans
-2.4969487,2.81998,3.0946589,2,evans
1.2865685,-1.1618528,2.7546966,0,evans
2.6166012,4.22687,-2.1872578,3,evans
2.6166012,4.22687,-2.1872578,3,evans
-4.3847556,5.38084,4.339265,2,crimmins_thione
7.1563306,2.8740137,-1.4532094,1,evans
6.0127087,-0.07726343,-2.5355494,1,evans
5.278825,2.9982398,-0.57578766,2,evans
4.125375,1.8005861,-1.0541477,2,evans
4.066413,-0.76489127,-2.4689636,1,evans
3.397197,0.50835323,-2.3449304,1,evans
0.6823575,-1.8390564,-1.7887458,3,evans
0.6606812,-0.08037063,-1.1979426,3,evans
2.6834,0.28729486,-2.0941586,1,evans
2.6813831,0.26612926,-2.1019893,1,evans
4.9753423,1.6638005,-1.4664408,1,evans
5.007579,1.4753348,-1.4697503,1,evans
-1.9232498,-1.4040477,-3.3552444,2,evans
-3.7577188,6.2429004,3.2990181,2,crimmins_thione
-3.7826948,6.2362194,3.270312,2,crimmins_thione
4.3184705,5.454759,-1.4911174,3,evans
4.273728,5.4421964,-1.539898,3,evans
-1.7403971,1.3506191,-2.5204484,2,evans
-1.7663393,1.3367383,-2.5564365,2,evans
-6.0690365,3.579494,2.4733498,2,crimmins_thione
-6.596268,3.6569855,2.485671,2,crimmins_thione
-6.5963306,3.6531014,2.484276,2,crimmins_thione
-7.044882,2.3727498,1.7153602,2,crimmins_thione
1.3938329,1.3448558,-0.80703026,3,evans
3.7893152,2.9574847,0.78248614,1,evans
1.5275767,2.1855547,1.7705626,1,crimmins_thione
1.5530353,2.191026,1.8057728,1,crimmins_thione
-7.2121587,-2.8932035,-6.733074,0,crimmins_oxathione
-6.8307633,-2.7201328,-7.000178,0,crimmins_oxathione
-7.1775603,-2.8649309,-6.7238936,0,crimmins_oxathione
-7.148397,-2.8543665,-6.720767,0,crimmins_oxathione
-6.865244,-2.7166605,-7.003665,0,crimmins_oxathione
-7.1486883,-2.8564277,-6.721543,0,crimmins_oxathione
-4.4849033,-5.022954,0.28031743,3,crimmins_oxathione
3.9891515,0.87347084,-1.9544381,1,evans
-2.6443987,1.7663014,0.7977933,1,evans
2.4658763,1.6026486,0.36596894,0,evans
2.4394577,1.5358856,0.32325423,0,evans
2.4571471,1.5408152,0.34270388,0,evans
4.528319,0.7867426,-1.8880374,0,evans
-0.976903,0.19962467,-0.9860562,2,evans
2.150747,-1.2635257,8.318386,0,evans
1.8768729,0.23229605,-1.2527236,2,evans
-3.041439,-0.6121331,-2.3051283,3,other_auxiliary
5.8549047,1.9226156,-1.5681366,1,evans
4.7022295,-1.0115492,-2.6551516,1,evans
3.08563,1.759159,-0.89133155,2,evans
1.9365455,0.5924213,-1.3580585,2,evans
2.9883955,1.4282779,-0.7510191,2,evans
1.8474532,0.42652613,-1.1730115,2,evans
3.0377889,0.30448568,-1.9607208,1,evans
0.19358036,-0.21335864,-0.29318205,1,evans
-2.1710098,-1.1828496,3.7940984,2,evans
-2.1508756,-1.964486,3.1570761,2,evans
1.1310585,2.000025,1.5750123,1,crimmins_thione
0.62889034,2.0905185,1.625177,1,crimmins_thione
-7.2188783,-3.010484,-6.6476173,0,crimmins_oxathione
-7.165163,-2.9791033,-6.6526237,0,crimmins_oxathione
-0.10868773,-0.23276357,-0.40823865,0,evans
-4.655939,2.551247,2.7141993,2,evans
3.354774,-1.5444725,-2.17856,3,evans
-7.803068,0.28013965,6.9904847,2,crimmins_thione
-2.2832036,0.5177244,-3.1740468,3,evans
-4.3295817,-2.0008254,-7.6604733,3,other_auxiliary
-0.17841066,1.5034714,-0.10329855,3,evans
-0.9360921,0.44895664,1.3246273,0,evans
0.33560428,-3.7014189,6.775127,1,oppolzer
2.8699017,0.019291574,0.30075586,0,evans
1.3450353,-3.3344703,-0.62501943,0,evans
3.3568447,0.34489736,0.20916522,0,evans
