class,class_id,feature,mean_abs_shap
SR (2),2,feat_metal_hardness,0.018234488
SR (2),2,feat_solvent_alpha,0.0032862087
SR (2),2,feat_solvent_beta,0.007234062
SR (2),2,feat_solvent_pi_star,0.010672948
SR (2),2,feat_solvent_ET30,0.0031621037
SR (2),2,feat_solvent_epsilon,0.006859013
SR (2),2,feat_solvent_viscosity,0.0030573355
SR (2),2,feat_solvent_bp,0.0081470115
SR (2),2,feat_solvent_known,0.0010863552
SR (2),2,feat_act_Bu2BOTf,0.008905298
SR (2),2,feat_act_Chx2BCl,0.00011082182
SR (2),2,feat_act_Ipc2BCl,0.0
SR (2),2,feat_act_9BBN_OTf,0.0
SR (2),2,feat_act_TiCl4,0.0020682474
SR (2),2,feat_act_Sn_OTf2,0.0009334188
SR (2),2,feat_act_MgCl2,0.011328029
SR (2),2,feat_act_BF3_OEt2,0.0
SR (2),2,feat_act_other_activator,0.010966892
SR (2),2,feat_temperature_c,0.023322688
SR (2),2,feat_time_h,0.015429455
SR (2),2,feat_yield_pct,0.051838566
SR (2),2,feat_solvent_mw,0.029854575
SR (2),2,feat_solvent_density,0.0019702588
SR (2),2,feat_solvent_refractive_index,0.009347417
SR (2),2,feat_solvent_dipole,0.004378659
SR (2),2,feat_solvent_molar_vol,0.0055438825
SR (2),2,feat_solvent_logP,0.0031232361
SR (2),2,aux_evans,0.0027278876
SR (2),2,aux_crimmins_thione,0.0003627689
SR (2),2,aux_crimmins_oxathione,0.0031113361
SR (2),2,aux_other_auxiliary,0.0055478956
SR (2),2,aux_myers,0.0
SR (2),2,n_defined_stereocenters,0.0097028455
SR (2),2,chiral_dominant_sign,0.0056753615
SR (2),2,chiral_primary_cip_R,0.0011403215
SR (2),2,chiral_n_defined,0.0024760684
SR (2),2,chiral_sum_signs,0.0005148206
SR (2),2,chiral_aux_c4_R,0.093347095
SR (2),2,chiral_aux_c4_match,0.0125582535
SR (2),2,chiral_aux_mw,0.0068859607
SR (2),2,aux_rg_benzyl,0.003129257
SR (2),2,aux_rg_isopropyl,0.00018537954
SR (2),2,aux_rg_phenyl,5.469211e-05
SR (2),2,aux_rg_tert_butyl,0.0
SR (2),2,aux_rg_methyl,0.00044454116
SR (2),2,aux_rg_indanyl,0.0
