number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
53,0.5950235544412932,2026-05-28 21:58:02.808101,2026-05-28 21:58:10.375891,0 days 00:00:07.567790,0.62983710232554,0.062111537833156705,0.014164588920095537,3,5,800,0.025426624782162184,2.4818889469339984,0.850897797505365,COMPLETE
54,0.6338901909734618,2026-05-28 21:58:10.376512,2026-05-28 21:58:13.540565,0 days 00:00:03.164053,0.7467332351076049,0.13451686470467233,0.01338339793109619,5,3,150,0.002085182096860652,4.2810959789932665,0.91221775071931,COMPLETE
55,0.6345145168634079,2026-05-28 21:58:13.541041,2026-05-28 21:58:17.403063,0 days 00:00:03.862022,0.7980031505429315,0.19481673676581365,0.010822166560034584,5,3,200,0.04198609221316079,1.0745209747754918,0.9045589895122673,COMPLETE
56,0.6105700952318931,2026-05-28 21:58:17.403524,2026-05-28 21:58:19.339887,0 days 00:00:01.936363,0.8660981431712043,0.2701731081743117,0.06350915250301956,4,6,100,0.019168433508274338,0.8242738499974033,0.8910801220416018,COMPLETE
57,0.5982544043384372,2026-05-28 21:58:19.340391,2026-05-28 21:58:23.113195,0 days 00:00:03.772804,0.6541093993272287,0.045634644270172796,0.17941424854433774,6,4,250,0.004545939972763498,0.6181607683594367,0.9564983684177925,COMPLETE
58,0.6251099986390045,2026-05-28 21:58:23.113654,2026-05-28 21:58:26.677660,0 days 00:00:03.564006,0.7417928269779469,0.1099649566949551,0.012825341262162906,7,9,150,0.008438444109318946,1.4315744848719971,0.8168992219666875,COMPLETE
59,0.6197125182397647,2026-05-28 21:58:26.678097,2026-05-28 21:58:31.305828,0 days 00:00:04.627731,0.6893655903310171,0.32481224766507827,0.01552312097090632,4,2,300,0.0015557898714825583,2.2130364059867476,0.8856778393863898,COMPLETE
60,0.6359989740891028,2026-05-28 21:58:31.306340,2026-05-28 21:58:33.486089,0 days 00:00:02.179749,0.6399764482699369,0.18468279008260952,0.019892492969467393,5,5,100,2.9215761364733077,1.1710344335851497,0.925233170776948,COMPLETE
61,0.6394293796436139,2026-05-28 21:58:33.486553,2026-05-28 21:58:37.334286,0 days 00:00:03.847733,0.842496375410027,0.2014302353479435,0.018039035677556853,5,3,200,0.009159330685376334,1.6537419912601201,0.9719604903970159,COMPLETE
62,0.6416533674474976,2026-05-28 21:58:37.334768,2026-05-28 21:58:40.628209,0 days 00:00:03.293441,0.8807619901451909,0.14038556607277752,0.018401799145944274,5,3,150,0.002959592776104297,0.9380507500256643,0.9584100174131981,COMPLETE
63,0.644459640130593,2026-05-28 21:58:40.628949,2026-05-28 21:58:43.934079,0 days 00:00:03.305130,0.9122465443846605,0.13509197965849012,0.01946949523099039,5,2,150,0.002488944880000351,0.9230791462878561,0.9809377396258027,COMPLETE
