number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
69,0.6526408959725342,2026-05-28 11:42:26.896533,2026-05-28 11:42:31.081853,0 days 00:00:04.185320,20.0,0.3,1,12,650,COMPLETE
70,0.647599174368366,2026-05-28 11:42:31.082405,2026-05-28 11:42:35.293523,0 days 00:00:04.211118,20.0,0.3,1,10,650,COMPLETE
71,0.6501810844685307,2026-05-28 11:42:35.294249,2026-05-28 11:42:38.607311,0 days 00:00:03.313062,20.0,0.3,1,11,500,COMPLETE
72,0.6383532506724684,2026-05-28 11:42:38.607690,2026-05-28 11:42:42.368572,0 days 00:00:03.760882,20.0,0.3,2,13,600,COMPLETE
73,0.6526408959725342,2026-05-28 11:42:42.368966,2026-05-28 11:42:46.497324,0 days 00:00:04.128358,20.0,0.3,1,12,650,COMPLETE
74,0.645753111018642,2026-05-28 11:42:46.497717,2026-05-28 11:42:50.738656,0 days 00:00:04.240939,20.0,0.3,1,9,650,COMPLETE
75,0.6526408959725342,2026-05-28 11:42:50.739084,2026-05-28 11:42:55.076881,0 days 00:00:04.337797,20.0,0.3,1,12,650,COMPLETE
76,0.6447657370235602,2026-05-28 11:42:55.077403,2026-05-28 11:42:58.829709,0 days 00:00:03.752306,20.0,0.3,2,12,550,COMPLETE
77,0.6489276070115598,2026-05-28 11:42:58.830061,2026-05-28 11:43:02.974185,0 days 00:00:04.144124,20.0,0.3,1,10,600,COMPLETE
78,0.6501301879083043,2026-05-28 11:43:02.974649,2026-05-28 11:43:06.864343,0 days 00:00:03.889694,20.0,0.3,1,11,550,COMPLETE
79,0.6438070961873907,2026-05-28 11:43:06.864812,2026-05-28 11:43:11.355399,0 days 00:00:04.490587,20.0,0.3,2,12,650,COMPLETE
80,0.5966168084041812,2026-05-28 11:43:11.355857,2026-05-28 11:43:15.921122,0 days 00:00:04.565265,20.0,0.3,9,11,700,COMPLETE
81,0.6548899624890504,2026-05-28 11:43:15.921678,2026-05-28 11:43:20.673357,0 days 00:00:04.751679,20.0,0.3,1,13,700,COMPLETE
82,0.6548899624890504,2026-05-28 11:43:20.673725,2026-05-28 11:43:25.448031,0 days 00:00:04.774306,20.0,0.3,1,13,700,COMPLETE
83,0.6548899624890504,2026-05-28 11:43:25.448516,2026-05-28 11:43:30.400396,0 days 00:00:04.951880,20.0,0.3,1,13,700,COMPLETE
84,0.6548899624890504,2026-05-28 11:43:30.400865,2026-05-28 11:43:35.288811,0 days 00:00:04.887946,20.0,0.3,1,13,700,COMPLETE
85,0.6415110335199443,2026-05-28 11:43:35.289287,2026-05-28 11:43:40.090981,0 days 00:00:04.801694,20.0,0.3,2,13,700,COMPLETE
86,0.6548899624890504,2026-05-28 11:43:40.091462,2026-05-28 11:43:44.761533,0 days 00:00:04.670071,20.0,0.3,1,13,700,COMPLETE
87,0.6393826041977526,2026-05-28 11:43:44.762007,2026-05-28 11:43:49.882741,0 days 00:00:05.120734,20.0,0.3,2,13,750,COMPLETE
88,0.6535207545432242,2026-05-28 11:43:49.883225,2026-05-28 11:43:54.717025,0 days 00:00:04.833800,20.0,0.3,1,14,700,COMPLETE
89,0.6166016026932343,2026-05-28 11:43:54.717476,2026-05-28 11:43:59.315927,0 days 00:00:04.598451,20.0,0.3,5,5,700,COMPLETE
90,0.6523347767923849,2026-05-28 11:43:59.316353,2026-05-28 11:44:04.812123,0 days 00:00:05.495770,20.0,0.3,1,13,800,COMPLETE
91,0.6535207545432242,2026-05-28 11:44:04.812593,2026-05-28 11:44:09.631238,0 days 00:00:04.818645,20.0,0.3,1,14,700,COMPLETE
